"","SYMBOL","ENTREZID","GENENAME"
"3615","MAGEF1","64110","MAGE family member F1"
"3616","STK4","6789","serine/threonine kinase 4"
"3617","COX6C","1345","cytochrome c oxidase subunit 6C"
"3618","SKOR1","390598","SKI family transcriptional corepressor 1"
"3619","ATP13A1","57130","ATPase 13A1"
"3620","SS18","6760","SS18 subunit of BAF chromatin remodeling complex"
"3621","SPG21","51324","SPG21 abhydrolase domain containing, maspardin"
"3622","LINC01278","92249","long intergenic non-protein coding RNA 1278"
"3623","CCDC175","729665","coiled-coil domain containing 175"
"3624","FAM160A2","84067","family with sequence similarity 160 member A2"
"3625","SSH2","85464","slingshot protein phosphatase 2"
"3626","LRRC6","23639","leucine rich repeat containing 6"
"3627","ANO8","57719","anoctamin 8"
"3628","CRBN","51185","cereblon"
"3629","TTC9","23508","tetratricopeptide repeat domain 9"
"3630","C1orf52","148423","chromosome 1 open reading frame 52"
"3631","LOC100288123","100288123","uncharacterized LOC100288123"
"3632","FIGNL1","63979","fidgetin like 1"
"3633","HP1BP3","50809","heterochromatin protein 1 binding protein 3"
"3634","ATXN3","4287","ataxin 3"
"3635","GON4L","54856","gon-4 like"
"3636","PANX2","56666","pannexin 2"
"3637","AHCYL1","10768","adenosylhomocysteinase like 1"
"3638","STK38","11329","serine/threonine kinase 38"
"3639","CCDC162P","221262","coiled-coil domain containing 162, pseudogene"
"3640","TMEM51-AS1","200197","TMEM51 antisense RNA 1"
"3641","C8orf76","84933","chromosome 8 open reading frame 76"
"3642","PIGO","84720","phosphatidylinositol glycan anchor biosynthesis class O"
"3643","PSMD11","5717","proteasome 26S subunit, non-ATPase 11"
"3644","OTUD7B","56957","OTU deubiquitinase 7B"
"3645","XAF1","54739","XIAP associated factor 1"
"3646","TAF1L","138474","TATA-box binding protein associated factor 1 like"
"3647","HSPB11","51668","heat shock protein family B (small) member 11"
"3648","MCUR1","63933","mitochondrial calcium uniporter regulator 1"
"3649","CNR1","1268","cannabinoid receptor 1"
"3650","USP42","84132","ubiquitin specific peptidase 42"
"3651","EDARADD","128178","EDAR associated death domain"
"3652","DPM1","8813","dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"3653","YWHAH","7533","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta"
"3654","NDUFA5","4698","NADH:ubiquinone oxidoreductase subunit A5"
"3655","RAET1E-AS1","100652739","RAET1E antisense RNA 1"
"3656","CCDC117","150275","coiled-coil domain containing 117"
"3657","ZNFX1","57169","zinc finger NFX1-type containing 1"
"3658","LOC101927178","101927178","uncharacterized LOC101927178"
"3659","C2orf70","339778","chromosome 2 open reading frame 70"
"3660","PLXNB1","5364","plexin B1"
"3661","YWHAG","7532","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma"
"3662","TMEM156","80008","transmembrane protein 156"
"3663","LINC00683","400660","long intergenic non-protein coding RNA 683"
"3664","MTMR7","9108","myotubularin related protein 7"
"3665","NUDC","10726","nuclear distribution C, dynein complex regulator"
"3666","DDX6","1656","DEAD-box helicase 6"
"3667","SLC25A42","284439","solute carrier family 25 member 42"
"3668","LOC100287015","100287015","uncharacterized LOC100287015"
"3669","SRPX","8406","sushi repeat containing protein X-linked"
"3670","REXO4","57109","REX4 homolog, 3'-5' exonuclease"
"3671","SLC30A4","7782","solute carrier family 30 member 4"
"3672","SPRY1","10252","sprouty RTK signaling antagonist 1"
"3673","BTNL9","153579","butyrophilin like 9"
"3674","ATOH8","84913","atonal bHLH transcription factor 8"
"3675","OCRL","4952","OCRL inositol polyphosphate-5-phosphatase"
"3676","TMEM140","55281","transmembrane protein 140"
"3677","C19orf25","148223","chromosome 19 open reading frame 25"
"3678","NPIPB5","100132247","nuclear pore complex interacting protein family member B5"
"3679","LYN","4067","LYN proto-oncogene, Src family tyrosine kinase"
"3680","MIR3936","100500865","microRNA 3936"
"3681","NACAD","23148","NAC alpha domain containing"
"3682","MAML3","55534","mastermind like transcriptional coactivator 3"
"3683","WNK3","65267","WNK lysine deficient protein kinase 3"
"3684","SYDE1","85360","synapse defective Rho GTPase homolog 1"
"3685","SNORD58A","26791","small nucleolar RNA, C/D box 58A"
"3686","AHCTF1","25909","AT-hook containing transcription factor 1"
"3687","STYXL1","51657","serine/threonine/tyrosine interacting like 1"
"3688","SPSB2","84727","splA/ryanodine receptor domain and SOCS box containing 2"
"3689","SARS2","54938","seryl-tRNA synthetase 2, mitochondrial"
"3690","RPL39","6170","ribosomal protein L39"
"3691","SPPL2B","56928","signal peptide peptidase like 2B"
"3692","NDUFAF7","55471","NADH:ubiquinone oxidoreductase complex assembly factor 7"
"3693","BCL2L13","23786","BCL2 like 13"
"3694","EIF3H","8667","eukaryotic translation initiation factor 3 subunit H"
"3695","BLACAT1","101669762","bladder cancer associated transcript 1"
"3696","TEP1","7011","telomerase associated protein 1"
"3697","MEX3B","84206","mex-3 RNA binding family member B"
"3698","FIG4","9896","FIG4 phosphoinositide 5-phosphatase"
"3699","GCC2","9648","GRIP and coiled-coil domain containing 2"
"3700","PEMT","10400","phosphatidylethanolamine N-methyltransferase"
"3701","FARSA","2193","phenylalanyl-tRNA synthetase subunit alpha"
"3702","GAS5-AS1","100506046","GAS5 antisense RNA 1"
"3703","RPS15","6209","ribosomal protein S15"
"3704","TPTE2P1","646405","transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 1"
"3705","PFN2","5217","profilin 2"
"3706","SOX21-AS1","100507533","SOX21 antisense divergent transcript 1"
"3707","SIK3","23387","SIK family kinase 3"
"3708","MAP7","9053","microtubule associated protein 7"
"3709","SAT2","112483","spermidine/spermine N1-acetyltransferase family member 2"
"3710","COL28A1","340267","collagen type XXVIII alpha 1 chain"
"3711","ANKRD20A11P","391267","ankyrin repeat domain 20 family member A11, pseudogene"
"3712","GPNMB","10457","glycoprotein nmb"
"3713","MEF2A","4205","myocyte enhancer factor 2A"
"3714","DNM1","1759","dynamin 1"
"3715","CCDC33","80125","coiled-coil domain containing 33"
"3716","CD46","4179","CD46 molecule"
"3717","KIAA1257","57501","KIAA1257"
"3718","ZNF143","7702","zinc finger protein 143"
"3719","MAP3K8","1326","mitogen-activated protein kinase kinase kinase 8"
"3720","RHPN1","114822","rhophilin Rho GTPase binding protein 1"
"3721","C12orf29","91298","chromosome 12 open reading frame 29"
"3722","PLA2R1","22925","phospholipase A2 receptor 1"
"3723","POLM","27434","DNA polymerase mu"
"3724","ZNF844","284391","zinc finger protein 844"
"3725","XPOT","11260","exportin for tRNA"
"3726","CYP2A13","1553","cytochrome P450 family 2 subfamily A member 13"
"3727","KRT16P1","729252","keratin 16 pseudogene 1"
"3728","MLH1","4292","mutL homolog 1"
"3729","STOML1","9399","stomatin like 1"
"3730","VPS41","27072","VPS41 subunit of HOPS complex"
"3731","DEPDC5","9681","DEP domain containing 5"
"3732","DLEU7-AS1","100874074","DLEU7 antisense RNA 1"
"3733","PHLDA3","23612","pleckstrin homology like domain family A member 3"
"3734","MICAL1","64780","microtubule associated monooxygenase, calponin and LIM domain containing 1"
"3735","RBM19","9904","RNA binding motif protein 19"
"3736","MROH8","140699","maestro heat like repeat family member 8"
"3737","MZT1","440145","mitotic spindle organizing protein 1"
"3738","TCEA3","6920","transcription elongation factor A3"
"3739","LAMTOR3","8649","late endosomal/lysosomal adaptor, MAPK and MTOR activator 3"
"3740","EDAR","10913","ectodysplasin A receptor"
"3741","GGN","199720","gametogenetin"
"3742","CD74","972","CD74 molecule"
"3743","PCDHGA5","56110","protocadherin gamma subfamily A, 5"
"3744","DAPK1","1612","death associated protein kinase 1"
"3745","EMD","2010","emerin"
"3746","PRDX6","9588","peroxiredoxin 6"
"3747","NR2E3","10002","nuclear receptor subfamily 2 group E member 3"
"3748","RAP2A","5911","RAP2A, member of RAS oncogene family"
"3749","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1"
"3750","TYW1B","441250","tRNA-yW synthesizing protein 1 homolog B"
"3751","DGKQ","1609","diacylglycerol kinase theta"
"3752","USP36","57602","ubiquitin specific peptidase 36"
"3753","RPL37","6167","ribosomal protein L37"
"3754","EIF2AK1","27102","eukaryotic translation initiation factor 2 alpha kinase 1"
"3755","STAM-AS1","102723166","STAM antisense RNA 1 (head to head)"
"3756","STK11","6794","serine/threonine kinase 11"
"3757","NANP","140838","N-acetylneuraminic acid phosphatase"
"3758","TAF4","6874","TATA-box binding protein associated factor 4"
"3759","EMC3-AS1","442075","EMC3 antisense RNA 1"
"3760","MIR6814","102465488","microRNA 6814"
"3761","AP3S2","10239","adaptor related protein complex 3 subunit sigma 2"
"3762","SLC6A9","6536","solute carrier family 6 member 9"
"3763","DPAGT1","1798","dolichyl-phosphate N-acetylglucosaminephosphotransferase 1"
"3764","SNHG10","283596","small nucleolar RNA host gene 10"
"3765","ATF7IP","55729","activating transcription factor 7 interacting protein"
"3766","SEMA3E","9723","semaphorin 3E"
"3767","GTF2F2","2963","general transcription factor IIF subunit 2"
"3768","TM9SF3","56889","transmembrane 9 superfamily member 3"
"3769","RNF39","80352","ring finger protein 39"
"3770","SETD6","79918","SET domain containing 6, protein lysine methyltransferase"
"3771","TMEM150A","129303","transmembrane protein 150A"
"3772","ADAM1A","8759","ADAM metallopeptidase domain 1A (pseudogene)"
"3773","RASA4","10156","RAS p21 protein activator 4"
"3774","GLB1L2","89944","galactosidase beta 1 like 2"
"3775","ACVR2B-AS1","100128640","ACVR2B antisense RNA 1"
"3776","RPS4X","6191","ribosomal protein S4 X-linked"
"3777","CRYZ","1429","crystallin zeta"
"3778","TTC36","143941","tetratricopeptide repeat domain 36"
"3779","RUFY1","80230","RUN and FYVE domain containing 1"
"3780","ZNF415","55786","zinc finger protein 415"
"3781","LRIG3","121227","leucine rich repeats and immunoglobulin like domains 3"
"3782","AGBL2","79841","ATP/GTP binding protein like 2"
"3783","PDE4B","5142","phosphodiesterase 4B"
"3784","HIST1H2BD","3017","histone cluster 1 H2B family member d"
"3785","PRKAB1","5564","protein kinase AMP-activated non-catalytic subunit beta 1"
"3786","ELOVL5","60481","ELOVL fatty acid elongase 5"
"3787","CA12","771","carbonic anhydrase 12"
"3788","HTR7","3363","5-hydroxytryptamine receptor 7"
"3789","GNMT","27232","glycine N-methyltransferase"
"3790","NEK9","91754","NIMA related kinase 9"
"3791","DNAJC27-AS1","729723","DNAJC27 antisense RNA 1"
"3792","PFKFB2","5208","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
"3793","AP3D1","8943","adaptor related protein complex 3 subunit delta 1"
"3794","RNU12","267010","RNA, U12 small nuclear"
"3795","C9orf78","51759","chromosome 9 open reading frame 78"
"3796","PIK3C3","5289","phosphatidylinositol 3-kinase catalytic subunit type 3"
"3797","RPF1","80135","ribosome production factor 1 homolog"
"3798","LOC153684","153684","uncharacterized LOC153684"
"3799","HENMT1","113802","HEN methyltransferase 1"
"3800","CLCC1","23155","chloride channel CLIC like 1"
"3801","NUTM2B","729262","NUT family member 2B"
"3802","UCN3","114131","urocortin 3"
"3803","KCNQ5","56479","potassium voltage-gated channel subfamily Q member 5"
"3804","MOGAT2","80168","monoacylglycerol O-acyltransferase 2"
"3805","MTRR","4552","5-methyltetrahydrofolate-homocysteine methyltransferase reductase"
"3806","GRIN1","2902","glutamate ionotropic receptor NMDA type subunit 1"
"3807","PDE11A","50940","phosphodiesterase 11A"
"3808","PCED1A","64773","PC-esterase domain containing 1A"
"3809","CYP27A1","1593","cytochrome P450 family 27 subfamily A member 1"
"3810","GSE1","23199","Gse1 coiled-coil protein"
"3811","NOA1","84273","nitric oxide associated 1"
"3812","RUNDC1","146923","RUN domain containing 1"
"3813","ANKRD54","129138","ankyrin repeat domain 54"
"3814","TOMM7","54543","translocase of outer mitochondrial membrane 7"
"3815","LOC101928597","101928597","uncharacterized LOC101928597"
"3816","HERC5","51191","HECT and RLD domain containing E3 ubiquitin protein ligase 5"
"3817","RORC","6097","RAR related orphan receptor C"
"3818","KCNK6","9424","potassium two pore domain channel subfamily K member 6"
"3819","F12","2161","coagulation factor XII"
"3820","LOC100130357","100130357","uncharacterized LOC100130357"
"3821","PNISR","25957","PNN interacting serine and arginine rich protein"
"3822","DPP4","1803","dipeptidyl peptidase 4"
"3823","AIMP1","9255","aminoacyl tRNA synthetase complex interacting multifunctional protein 1"
"3824","ST20","400410","suppressor of tumorigenicity 20"
"3825","PUS7L","83448","pseudouridine synthase 7 like"
"3826","TMEM150C","441027","transmembrane protein 150C"
"3827","LETM1","3954","leucine zipper and EF-hand containing transmembrane protein 1"
"3828","CSMD1","64478","CUB and Sushi multiple domains 1"
"3829","SCARF1","8578","scavenger receptor class F member 1"
"3830","MRPL47","57129","mitochondrial ribosomal protein L47"
"3831","ALDH4A1","8659","aldehyde dehydrogenase 4 family member A1"
"3832","COX8A","1351","cytochrome c oxidase subunit 8A"
"3833","DENND1A","57706","DENN domain containing 1A"
"3834","LZTR1","8216","leucine zipper like transcription regulator 1"
"3835","MROH1","727957","maestro heat like repeat family member 1"
"3836","DPF2","5977","double PHD fingers 2"
"3837","TATDN1","83940","TatD DNase domain containing 1"
"3838","FAM53A","152877","family with sequence similarity 53 member A"
"3839","MED14OS","100873985","MED14 opposite strand"
"3840","DHRS2","10202","dehydrogenase/reductase 2"
"3841","MED23","9439","mediator complex subunit 23"
"3842","TANC2","26115","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
"3843","NFKB1","4790","nuclear factor kappa B subunit 1"
"3844","CTPS2","56474","CTP synthase 2"
"3845","WDR17","116966","WD repeat domain 17"
"3846","EIF4A2","1974","eukaryotic translation initiation factor 4A2"
"3847","TMEM74B","55321","transmembrane protein 74B"
"3848","MIR3193","100422904","microRNA 3193"
"3849","DMTN","2039","dematin actin binding protein"
"3850","ZBTB20","26137","zinc finger and BTB domain containing 20"
"3851","CECR2","27443","CECR2 histone acetyl-lysine reader"
"3852","GRWD1","83743","glutamate rich WD repeat containing 1"
"3853","ZNF740","283337","zinc finger protein 740"
"3854","ADAM23","8745","ADAM metallopeptidase domain 23"
"3855","EIF4E3","317649","eukaryotic translation initiation factor 4E family member 3"
"3856","NAPA","8775","NSF attachment protein alpha"
"3857","RALGDS","5900","ral guanine nucleotide dissociation stimulator"
"3858","SNX19","399979","sorting nexin 19"
"3859","IL18","3606","interleukin 18"
"3860","DCK","1633","deoxycytidine kinase"
"3861","MACF1","23499","microtubule actin crosslinking factor 1"
"3862","BCO2","83875","beta-carotene oxygenase 2"
"3863","TBX2","6909","T-box 2"
"3864","ARHGEF37","389337","Rho guanine nucleotide exchange factor 37"
"3865","PGAM2","5224","phosphoglycerate mutase 2"
"3866","MIR663A","724033","microRNA 663a"
"3867","KIN","22944","Kin17 DNA and RNA binding protein"
"3868","SKIL","6498","SKI like proto-oncogene"
"3869","SNTN","132203","sentan, cilia apical structure protein"
"3870","PLEK2","26499","pleckstrin 2"
"3871","TAF9","6880","TATA-box binding protein associated factor 9"
"3872","ZC4H2","55906","zinc finger C4H2-type containing"
"3873","RAE1","8480","ribonucleic acid export 1"
"3874","C9orf16","79095","chromosome 9 open reading frame 16"
"3875","SPTLC2","9517","serine palmitoyltransferase long chain base subunit 2"
"3876","PSMD10","5716","proteasome 26S subunit, non-ATPase 10"
"3877","LINC01187","100507267","long intergenic non-protein coding RNA 1187"
"3878","BRICD5","283870","BRICHOS domain containing 5"
"3879","S100A9","6280","S100 calcium binding protein A9"
"3880","LINC00884","401106","long intergenic non-protein coding RNA 884"
"3881","GBAP1","2630","glucosylceramidase beta pseudogene 1"
"3882","CLDN10","9071","claudin 10"
"3883","ARX","170302","aristaless related homeobox"
"3884","PAEP","5047","progestagen associated endometrial protein"
"3885","SCAI","286205","suppressor of cancer cell invasion"
"3886","ADH7","131","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
"3887","FKBP1AP1","2282","FKBP prolyl isomerase 1A pseudogene 1"
"3888","VAPA","9218","VAMP associated protein A"
"3889","HAL","3034","histidine ammonia-lyase"
"3890","DDX51","317781","DEAD-box helicase 51"
"3891","ARV1","64801","ARV1 homolog, fatty acid homeostasis modulator"
"3892","SNORA33","594839","small nucleolar RNA, H/ACA box 33"
"3893","TCF7","6932","transcription factor 7"
"3894","TRIL","9865","TLR4 interactor with leucine rich repeats"
"3895","ORC5","5001","origin recognition complex subunit 5"
"3896","PAIP2","51247","poly(A) binding protein interacting protein 2"
"3897","MECR","51102","mitochondrial trans-2-enoyl-CoA reductase"
"3898","SMAD7","4092","SMAD family member 7"
"3899","FANCC","2176","FA complementation group C"
"3900","ITGB4","3691","integrin subunit beta 4"
"3901","MBD6","114785","methyl-CpG binding domain protein 6"
"3902","SNORA49","677829","small nucleolar RNA, H/ACA box 49"
"3903","GALNT3","2591","polypeptide N-acetylgalactosaminyltransferase 3"
"3904","NFATC1","4772","nuclear factor of activated T cells 1"
"3905","ZACN","353174","zinc activated ion channel"
"3906","LOC100129917","100129917","uncharacterized LOC100129917"
"3907","NPPA-AS1","100379251","NPPA antisense RNA 1"
"3908","AMY2B","280","amylase alpha 2B (pancreatic)"
"3909","RNF14","9604","ring finger protein 14"
"3910","MRPL35","51318","mitochondrial ribosomal protein L35"
"3911","TRUB2","26995","TruB pseudouridine synthase family member 2"
"3912","AK3","50808","adenylate kinase 3"
"3913","CBS","875","cystathionine-beta-synthase"
"3914","VPS37B","79720","VPS37B subunit of ESCRT-I"
"3915","WDR77","79084","WD repeat domain 77"
"3916","TMA7","51372","translation machinery associated 7 homolog"
"3917","ZNF587","84914","zinc finger protein 587"
"3918","NDRG3","57446","NDRG family member 3"
"3919","FAM86B3P","286042","family with sequence similarity 86, member A pseudogene"
"3920","MOBP","4336","myelin associated oligodendrocyte basic protein"
"3921","CDK16","5127","cyclin dependent kinase 16"
"3922","SPAG16","79582","sperm associated antigen 16"
"3923","GPR19","2842","G protein-coupled receptor 19"
"3924","HAGH","3029","hydroxyacylglutathione hydrolase"
"3925","SNORD32A","26819","small nucleolar RNA, C/D box 32A"
"3926","PLK3","1263","polo like kinase 3"
"3927","C1orf194","127003","chromosome 1 open reading frame 194"
"3928","C1orf109","54955","chromosome 1 open reading frame 109"
"3929","PCK2","5106","phosphoenolpyruvate carboxykinase 2, mitochondrial"
"3930","CCDC77","84318","coiled-coil domain containing 77"
"3931","SKIDA1","387640","SKI/DACH domain containing 1"
"3932","PEX26","55670","peroxisomal biogenesis factor 26"
"3933","NNMT","4837","nicotinamide N-methyltransferase"
"3934","MAPK1IP1L","93487","mitogen-activated protein kinase 1 interacting protein 1 like"
"3935","ZNF484","83744","zinc finger protein 484"
"3936","ZNF674-AS1","401588","ZNF674 antisense RNA 1 (head to head)"
"3937","C16orf87","388272","chromosome 16 open reading frame 87"
"3938","RBP7","116362","retinol binding protein 7"
"3939","WDR47","22911","WD repeat domain 47"
"3940","DGKI","9162","diacylglycerol kinase iota"
"3941","HIST1H2BO","8348","histone cluster 1 H2B family member o"
"3942","RABEP1","9135","rabaptin, RAB GTPase binding effector protein 1"
"3943","HHATL","57467","hedgehog acyltransferase like"
"3944","SEC22C","9117","SEC22 homolog C, vesicle trafficking protein"
"3945","SESN2","83667","sestrin 2"
"3946","LOC100631378","100631378","uncharacterized 100631378"
"3947","NIPAL3","57185","NIPA like domain containing 3"
"3948","COL27A1","85301","collagen type XXVII alpha 1 chain"
"3949","ACTR1A","10121","actin related protein 1A"
"3950","TPD52","7163","tumor protein D52"
"3951","UGT1A3","54659","UDP glucuronosyltransferase family 1 member A3"
"3952","NDUFB6","4712","NADH:ubiquinone oxidoreductase subunit B6"
"3953","PTGS2","5743","prostaglandin-endoperoxide synthase 2"
"3954","FKTN","2218","fukutin"
"3955","RUSC1-AS1","284618","RUSC1 antisense RNA 1"
"3956","DCAF17","80067","DDB1 and CUL4 associated factor 17"
"3957","S100A5","6276","S100 calcium binding protein A5"
"3958","EPHX1","2052","epoxide hydrolase 1"
"3959","BSG","682","basigin (Ok blood group)"
"3960","KCNJ16","3773","potassium voltage-gated channel subfamily J member 16"
"3961","RNF216","54476","ring finger protein 216"
"3962","NIM1K","167359","NIM1 serine/threonine protein kinase"
"3963","EFCAB1","79645","EF-hand calcium binding domain 1"
"3964","TAF13","6884","TATA-box binding protein associated factor 13"
"3965","APOL6","80830","apolipoprotein L6"
"3966","CARHSP1","23589","calcium regulated heat stable protein 1"
"3967","STARD3","10948","StAR related lipid transfer domain containing 3"
"3968","COMMD5","28991","COMM domain containing 5"
"3969","ROPN1L","83853","rhophilin associated tail protein 1 like"
"3970","SCAMP5","192683","secretory carrier membrane protein 5"
"3971","LOC100129534","100129534","small nuclear ribonucleoprotein polypeptide N pseudogene"
"3972","BBC3","27113","BCL2 binding component 3"
"3973","USP5","8078","ubiquitin specific peptidase 5"
"3974","ANK3","288","ankyrin 3"
"3975","LSM11","134353","LSM11, U7 small nuclear RNA associated"
"3976","TAF1B","9014","TATA-box binding protein associated factor, RNA polymerase I subunit B"
"3977","YIPF4","84272","Yip1 domain family member 4"
"3978","THEMIS2","9473","thymocyte selection associated family member 2"
"3979","ZBED3","84327","zinc finger BED-type containing 3"
"3980","C20orf197","284756","chromosome 20 open reading frame 197"
"3981","BCAP31","10134","B cell receptor associated protein 31"
"3982","ECE2","9718","endothelin converting enzyme 2"
"3983","FSCN1","6624","fascin actin-bundling protein 1"
"3984","MANBAL","63905","mannosidase beta like"
"3985","NMBR","4829","neuromedin B receptor"
"3986","MRPL45","84311","mitochondrial ribosomal protein L45"
"3987","LRG1","116844","leucine rich alpha-2-glycoprotein 1"
"3988","CBX5","23468","chromobox 5"
"3989","ZC3H12B","340554","zinc finger CCCH-type containing 12B"
"3990","ANKH","56172","ANKH inorganic pyrophosphate transport regulator"
"3991","DNAJC9-AS1","414245","DNAJC9 antisense RNA 1"
"3992","GNG12","55970","G protein subunit gamma 12"
"3993","VPS52","6293","VPS52 subunit of GARP complex"
"3994","PCDHB2","56133","protocadherin beta 2"
"3995","ZNF275","10838","zinc finger protein 275"
"3996","SND1","27044","staphylococcal nuclease and tudor domain containing 1"
"3997","ADCY3","109","adenylate cyclase 3"
"3998","SYNPR-AS1","100874016","SYNPR antisense RNA 1"
"3999","TCTEX1D4","343521","Tctex1 domain containing 4"
"4000","LINC01267","101927565","long intergenic non-protein coding RNA 1267"
"4001","MVB12A","93343","multivesicular body subunit 12A"
"4002","CMAS","55907","cytidine monophosphate N-acetylneuraminic acid synthetase"
"4003","CDKN3","1033","cyclin dependent kinase inhibitor 3"
"4004","RETSAT","54884","retinol saturase"
"4005","PLXNA3","55558","plexin A3"
"4006","KRT80","144501","keratin 80"
"4007","ATP6V1C2","245973","ATPase H+ transporting V1 subunit C2"
"4008","MFNG","4242","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"4009","MAGI2-AS3","100505881","MAGI2 antisense RNA 3"
"4010","LOC100507642","100507642","uncharacterized LOC100507642"
"4011","LYPD5","284348","LY6/PLAUR domain containing 5"
"4012","TAT","6898","tyrosine aminotransferase"
"4013","NPIPB3","23117","nuclear pore complex interacting protein family member B3"
"4014","TYW5","129450","tRNA-yW synthesizing protein 5"
"4015","MIS18BP1","55320","MIS18 binding protein 1"
"4016","CEMIP","57214","cell migration inducing hyaluronidase 1"
"4017","LUC7L3","51747","LUC7 like 3 pre-mRNA splicing factor"
"4018","CD274","29126","CD274 molecule"
"4019","FAM57B","83723","family with sequence similarity 57 member B"
"4020","PRPSAP2","5636","phosphoribosyl pyrophosphate synthetase associated protein 2"
"4021","LINC00847","729678","long intergenic non-protein coding RNA 847"
"4022","XRN2","22803","5'-3' exoribonuclease 2"
"4023","GRIPAP1","56850","GRIP1 associated protein 1"
"4024","C14orf132","56967","chromosome 14 open reading frame 132"
"4025","S100A10","6281","S100 calcium binding protein A10"
"4026","LOC642366","642366","uncharacterized LOC642366"
"4027","ZNF420","147923","zinc finger protein 420"
"4028","ZNF214","7761","zinc finger protein 214"
"4029","DNAJA1","3301","DnaJ heat shock protein family (Hsp40) member A1"
"4030","POSTN","10631","periostin"
"4031","TTLL5","23093","tubulin tyrosine ligase like 5"
"4032","CRK","1398","CRK proto-oncogene, adaptor protein"
"4033","LONP2","83752","lon peptidase 2, peroxisomal"
"4034","RAB11FIP2","22841","RAB11 family interacting protein 2"
"4035","LINC00865","643529","long intergenic non-protein coding RNA 865"
"4036","SHANK2","22941","SH3 and multiple ankyrin repeat domains 2"
"4037","GLS2","27165","glutaminase 2"
"4038","NEDD8","4738","NEDD8 ubiquitin like modifier"
"4039","HUNK","30811","hormonally up-regulated Neu-associated kinase"
"4040","LYRM7","90624","LYR motif containing 7"
"4041","ZNF8","7554","zinc finger protein 8"
"4042","NUDT8","254552","nudix hydrolase 8"
"4043","SNX10","29887","sorting nexin 10"
"4044","GTPBP2","54676","GTP binding protein 2"
"4045","RAB4A","5867","RAB4A, member RAS oncogene family"
"4046","CCDC157","550631","coiled-coil domain containing 157"
"4047","NR2F1-AS1","441094","NR2F1 antisense RNA 1"
"4048","RHOBTB2","23221","Rho related BTB domain containing 2"
"4049","PSORS1C3","100130889","psoriasis susceptibility 1 candidate 3"
"4050","SPRYD3","84926","SPRY domain containing 3"
"4051","TBC1D1","23216","TBC1 domain family member 1"
"4052","LOC101927911","101927911","uncharacterized LOC101927911"
"4053","ACSL3","2181","acyl-CoA synthetase long chain family member 3"
"4054","THSD4","79875","thrombospondin type 1 domain containing 4"
"4055","RCBTB1","55213","RCC1 and BTB domain containing protein 1"
"4056","ITGB7","3695","integrin subunit beta 7"
"4057","SAA2","6289","serum amyloid A2"
"4058","CPVL","54504","carboxypeptidase vitellogenic like"
"4059","KCNQ1OT1","10984","KCNQ1 opposite strand/antisense transcript 1"
"4060","BMS1","9790","BMS1 ribosome biogenesis factor"
"4061","F2RL1","2150","F2R like trypsin receptor 1"
"4062","TMPO-AS1","100128191","TMPO antisense RNA 1"
"4063","FLJ32255","643977","uncharacterized LOC643977"
"4064","C7orf25","79020","chromosome 7 open reading frame 25"
"4065","WNT4","54361","Wnt family member 4"
"4066","PNPT1","87178","polyribonucleotide nucleotidyltransferase 1"
"4067","HSPA2","3306","heat shock protein family A (Hsp70) member 2"
"4068","PRSS3","5646","serine protease 3"
"4069","TMEM260","54916","transmembrane protein 260"
"4070","PCSK5","5125","proprotein convertase subtilisin/kexin type 5"
"4071","CCDC88C","440193","coiled-coil domain containing 88C"
"4072","VIPR1","7433","vasoactive intestinal peptide receptor 1"
"4073","PCDH1","5097","protocadherin 1"
"4074","TMEM92","162461","transmembrane protein 92"
"4075","PDIA6","10130","protein disulfide isomerase family A member 6"
"4076","PPM1D","8493","protein phosphatase, Mg2+/Mn2+ dependent 1D"
"4077","NOL6","65083","nucleolar protein 6"
"4078","KRR1","11103","KRR1 small subunit processome component homolog"
"4079","PTN","5764","pleiotrophin"
"4080","IL33","90865","interleukin 33"
"4081","ECHS1","1892","enoyl-CoA hydratase, short chain 1"
"4082","MELK","9833","maternal embryonic leucine zipper kinase"
"4083","CPLX1","10815","complexin 1"
"4084","CMC4","100272147","C-X9-C motif containing 4"
"4085","PNRC2","55629","proline rich nuclear receptor coactivator 2"
"4086","TMPRSS11A","339967","transmembrane serine protease 11A"
"4087","ODF3B","440836","outer dense fiber of sperm tails 3B"
"4088","ANXA2P1","303","annexin A2 pseudogene 1"
"4089","AKAP13","11214","A-kinase anchoring protein 13"
"4090","TSHZ3","57616","teashirt zinc finger homeobox 3"
"4091","OXNAD1","92106","oxidoreductase NAD binding domain containing 1"
"4092","YARS","8565","tyrosyl-tRNA synthetase"
"4093","GUF1","60558","GUF1 homolog, GTPase"
"4094","CNIH3","149111","cornichon family AMPA receptor auxiliary protein 3"
"4095","TNS4","84951","tensin 4"
